iter	Passed	Remaining
0	0	822
1	1	695
2	1	655
3	2	633
4	3	619
5	3	609
6	4	601
7	4	595
8	5	589
9	5	590
10	6	588
11	7	585
12	7	581
13	8	579
14	8	578
15	9	576
16	9	574
17	10	572
18	11	570
19	11	568
20	12	567
21	12	566
22	13	565
23	13	564
24	14	562
25	14	560
26	15	559
27	16	557
28	16	556
29	17	555
30	17	554
31	18	553
32	18	552
33	19	551
34	19	550
35	20	550
36	21	549
37	21	548
38	22	547
39	22	546
40	23	545
41	23	544
42	24	544
43	25	543
44	25	542
45	26	542
46	26	541
47	27	540
48	27	540
49	28	539
50	28	539
51	29	538
52	30	537
53	30	537
54	31	536
55	31	535
56	32	534
57	32	534
58	33	534
59	34	533
60	34	533
61	35	532
62	35	531
63	36	531
64	36	530
65	37	530
66	38	530
67	38	530
68	39	530
69	39	529
70	40	528
71	40	528
72	41	527
73	42	526
74	42	526
75	43	525
76	43	524
77	44	523
78	44	523
79	45	522
80	46	522
81	46	521
82	46	517
83	47	517
84	47	516
85	48	515
86	49	515
87	49	514
88	50	514
89	50	513
90	51	513
91	52	513
92	52	513
93	53	512
94	53	511
95	54	511
96	54	510
97	55	509
98	55	509
99	56	508
100	57	507
101	57	507
102	58	506
103	58	506
104	59	505
105	59	505
106	60	504
107	61	504
108	61	503
109	62	502
110	62	502
111	63	501
112	63	500
113	64	500
114	64	500
115	65	499
116	66	498
117	66	497
118	67	497
119	67	496
120	68	496
121	68	494
122	69	494
123	69	494
124	70	493
125	71	493
126	71	493
127	72	493
128	72	492
129	73	491
130	74	491
131	74	490
132	75	490
133	75	489
134	76	489
135	76	488
136	77	487
137	78	487
138	78	486
139	79	486
140	79	485
141	80	483
142	80	483
143	81	482
144	81	482
145	82	481
146	82	481
147	83	480
148	84	480
149	84	480
150	85	479
151	85	479
152	86	478
153	87	478
154	87	477
155	88	477
156	88	476
157	89	475
158	89	475
159	90	474
160	91	475
161	91	474
162	92	474
163	93	474
164	93	473
165	94	473
166	94	472
167	95	472
168	99	487
169	99	487
170	100	487
171	101	487
172	101	487
173	102	487
174	103	487
175	104	488
176	104	488
177	105	487
178	106	486
179	106	486
180	107	485
181	107	484
182	108	484
183	109	483
184	109	482
185	110	482
186	110	481
187	111	481
188	111	480
189	112	479
190	113	479
191	113	479
192	114	478
193	115	478
194	115	477
195	116	476
196	116	475
197	117	475
198	117	474
199	118	473
200	118	472
201	119	472
202	120	471
203	120	470
204	121	470
205	121	469
206	122	468
207	122	467
208	123	467
209	124	466
210	124	465
211	125	465
212	125	464
213	126	463
214	126	463
215	127	462
216	127	461
217	128	460
218	129	460
219	129	459
220	130	458
221	130	458
222	131	457
223	131	456
224	132	456
225	132	455
226	133	454
227	134	453
228	134	453
229	135	452
230	135	451
231	136	451
232	136	450
233	137	449
234	137	449
235	138	448
236	139	447
237	139	447
238	140	446
239	140	445
240	141	444
241	141	444
242	142	443
243	142	442
244	143	442
245	144	441
246	144	440
247	145	440
248	145	439
249	146	438
250	146	438
251	147	437
252	147	436
253	148	435
254	148	435
255	149	434
256	150	433
257	150	433
258	151	432
259	151	432
260	152	431
261	152	430
262	153	430
263	154	429
264	154	428
265	155	428
266	155	427
267	156	426
268	156	426
269	157	425
270	157	424
271	158	424
272	159	423
273	159	422
274	160	422
275	160	421
276	161	420
277	161	420
278	162	419
279	162	418
280	163	418
281	164	417
282	164	417
283	165	416
284	165	415
285	166	415
286	166	414
287	167	413
288	167	413
289	168	412
290	169	411
291	169	411
292	170	410
293	170	410
294	171	409
295	171	408
296	172	408
297	172	407
298	173	406
299	174	406
300	174	405
301	175	405
302	175	404
303	176	403
304	176	403
305	177	402
306	178	401
307	178	401
308	179	400
309	179	399
310	180	399
311	180	398
312	181	398
313	181	397
314	182	396
315	183	396
316	183	395
317	184	395
318	184	394
319	185	393
320	185	393
321	186	392
322	186	391
323	187	391
324	188	390
325	188	390
326	189	389
327	189	388
328	190	388
329	190	387
330	191	387
331	192	386
332	192	385
333	193	385
334	193	384
335	194	383
336	194	383
337	195	382
338	195	382
339	196	381
340	197	380
341	197	380
342	198	379
343	198	378
344	199	378
345	199	377
346	200	377
347	200	376
348	201	375
349	202	375
350	202	374
351	203	373
352	203	373
353	204	372
354	204	372
355	205	371
356	205	370
357	206	370
358	207	369
359	207	369
360	208	368
361	208	367
362	209	367
363	209	366
364	210	366
365	210	365
366	211	364
367	212	364
368	212	363
369	213	362
370	213	362
371	214	361
372	214	361
373	215	360
374	215	359
375	216	359
376	217	358
377	217	358
378	218	357
379	218	356
380	219	356
381	219	355
382	220	355
383	220	354
384	221	353
385	222	353
386	222	352
387	223	351
388	223	351
389	224	350
390	224	350
391	225	349
392	225	348
393	226	348
394	227	347
395	227	347
396	228	346
397	228	345
398	229	345
399	229	344
400	230	344
401	230	343
402	231	342
403	232	342
404	232	341
405	233	341
406	233	340
407	234	339
408	234	339
409	235	338
410	235	338
411	236	337
412	236	336
413	237	336
414	238	335
415	238	335
416	239	334
417	239	333
418	240	333
419	240	332
420	241	332
421	241	331
422	242	330
423	243	330
424	243	329
425	244	328
426	244	328
427	245	327
428	245	327
429	246	326
430	246	326
431	247	325
432	248	324
433	248	324
434	249	323
435	249	323
436	250	322
437	250	321
438	251	321
439	251	320
440	252	320
441	253	319
442	253	318
443	254	318
444	254	317
445	255	317
446	255	316
447	256	315
448	256	315
449	257	314
450	258	314
451	258	313
452	259	312
453	259	312
454	260	311
455	260	311
456	261	310
457	261	309
458	262	309
459	263	308
460	263	308
461	264	307
462	264	306
463	265	306
464	265	305
465	266	305
466	266	304
467	267	304
468	267	303
469	268	302
470	269	302
471	269	301
472	270	300
473	270	300
474	271	299
475	271	299
476	272	298
477	272	297
478	273	297
479	273	296
480	274	296
481	275	295
482	275	295
483	276	294
484	276	293
485	277	293
486	277	292
487	278	292
488	278	291
489	279	290
490	279	290
491	280	289
492	281	289
493	281	288
494	282	287
495	282	287
496	283	286
497	283	286
498	284	285
499	284	284
500	285	284
501	286	283
502	286	283
503	287	282
504	287	282
505	288	281
506	288	280
507	289	280
508	289	279
509	290	279
510	291	278
511	291	277
512	292	277
513	292	276
514	293	276
515	293	275
516	294	274
517	294	274
518	295	273
519	296	273
520	296	272
521	297	272
522	297	271
523	298	270
524	298	270
525	299	269
526	299	269
527	300	268
528	300	267
529	301	267
530	302	266
531	302	266
532	303	265
533	303	265
534	304	264
535	304	263
536	305	263
537	305	262
538	306	262
539	307	261
540	307	260
541	308	260
542	308	259
543	309	259
544	309	258
545	310	258
546	310	257
547	311	256
548	312	256
549	312	255
550	313	255
551	313	254
552	314	254
553	314	253
554	315	252
555	315	252
556	316	251
557	317	251
558	317	250
559	318	249
560	318	249
561	319	248
562	319	248
563	320	247
564	320	247
565	321	246
566	321	245
567	322	245
568	323	244
569	323	244
570	324	243
571	324	242
572	325	242
573	325	241
574	326	241
575	326	240
576	327	240
577	328	239
578	328	238
579	329	238
580	329	237
581	330	237
582	330	236
583	331	236
584	331	235
585	332	234
586	332	234
587	333	233
588	334	233
589	334	232
590	335	231
